model_name,attack,strength,params,BA,VSR,MCD_dB,harmful_degree,n_samples,elapsed_s,error
speaker_baseline,none,baseline,{},0.8125,1.0,0.0,0.1875,16,1.6,
speaker_baseline,gaussian_noise,light,{'snr_db': 30},0.0,1.0,184.38,1.0,16,0.5,
speaker_baseline,resample_chain,light,{'mid_sr': 16000},0.8125,1.0,0.0,0.1875,16,0.5,
speaker_baseline,lowpass,light,{'cutoff_hz': 4000},0.25,1.0,200.0,0.75,16,0.5,
speaker_baseline,quantize,light,{'levels': 256},0.0,1.0,200.0,1.0,16,0.5,
speaker_baseline,strip,light,{'blend': 0.05},0.0,1.0,200.0,1.0,16,0.5,
speaker_baseline,shrinkpad,light,{'ratio': 0.95},0.5,0.0,200.0,0.5,16,0.5,
speaker_baseline,deepfilter,light,{'atten_lim_db': 6},,,,,0,,[deepfilter] dependency/runtime failure. Install compatible deepfilternet + torchaudio stack. Original error: No module named 'torchaudio.backend'
speaker_baseline,voice_conversion,light,{'n_steps': 1},0.375,0.0,200.0,0.625,16,1.2,
